,mode,price,catch,pbeach,ppier,pboat,pcharter,cbeach,cpier,cboat,ccharter,income,log_income,pdif
0,charter,182.93,0.5391,157.93,157.93,157.93,182.93,0.0678,0.0503,0.2601,0.5391,7083.3317,8.86549965509619,25.0
1,charter,34.534,0.4671,15.114,15.114,10.534,34.534,0.1049,0.0451,0.1574,0.4671,1249.9998,7.130898670296334,19.419999999999998
5,charter,63.934,0.3975,192.474,192.474,28.934,63.934,0.5333,0.4522,0.1665,0.3975,4583.332,8.430181523517474,128.54
7,charter,56.714,0.0209,15.134,15.134,21.714,56.714,0.0678,0.0789,0.0102,0.0209,2083.3332,7.641724390062335,41.58
20,charter,53.522,0.0058,345.744,345.744,18.522,53.522,0.5333,0.4522,0.0156,0.0058,7916.6663,8.976725474478886,292.22200000000004
21,charter,44.322,0.0046,88.06200000000001,88.06200000000001,20.322,44.322,0.1049,0.0451,0.0023,0.0046,8750.001,9.076809093637367,43.74000000000001
23,charter,43.734,0.3087,28.314,28.314,19.734,43.734,0.1049,0.0079,0.0613,0.3087,2916.6666,7.978196667826407,15.420000000000002
24,charter,69.32,0.6456,33.462,33.462,34.32,69.32,0.0678,0.0789,0.0559,0.6456,2916.6666,7.978196667826407,35.85799999999999
28,charter,45.534,0.0058,70.074,70.074,10.534,45.534,0.5333,0.4522,0.0156,0.0058,1249.9998,7.130898670296334,24.54
29,charter,54.734,0.0058,131.274,131.274,19.734,54.734,0.5333,0.4522,0.0156,0.0058,2916.6666,7.978196667826407,76.53999999999999
30,charter,43.734,0.0046,28.314,28.314,19.734,43.734,0.1049,0.0451,0.0023,0.0046,2916.6666,7.978196667826407,15.420000000000002
31,charter,35.322,0.3087,49.062,49.062,11.322,35.322,0.1049,0.0079,0.0613,0.3087,4583.332,8.430181523517474,13.739999999999995
35,charter,42.722,0.4216,144.144,144.144,7.722,42.722,0.5333,0.0069,0.0361,0.4216,2916.6666,7.978196667826407,101.422
38,charter,60.004,0.0058,115.808,115.808,25.004,60.004,0.5333,0.4522,0.0156,0.0058,2083.3332,7.641724390062335,55.80400000000001
41,charter,89.912,1.0905,10.296,10.296,54.912,89.912,0.0678,0.0789,0.0897,1.0905,2916.6666,7.978196667826407,79.61600000000001
43,charter,211.208,2.3101,59.248000000000005,59.248000000000005,186.208,211.208,0.2537,0.1498,0.7369,2.3101,3749.9999,8.22951109229779,151.95999999999998
44,charter,50.096,1.0266,231.472,231.472,15.095999999999998,50.096,0.5333,0.4522,0.2413,1.0266,4583.332,8.430181523517474,181.376
46,charter,57.29600000000001,1.0266,341.872,341.872,22.296,57.29600000000001,0.5333,0.4522,0.2413,1.0266,7083.3317,8.86549965509619,284.576
47,charter,52.404,1.0266,80.608,80.608,17.404,52.404,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,28.204
50,charter,44.522,0.0058,177.74400000000003,177.74400000000003,9.522,44.522,0.5333,0.4522,0.0156,0.0058,3749.9999,8.22951109229779,133.22200000000004
54,charter,52.934,0.3087,41.514,41.514,28.934,52.934,0.1049,0.0079,0.0613,0.3087,4583.332,8.430181523517474,11.419999999999995
55,charter,39.134,0.0046,21.714,21.714,15.134,39.134,0.1049,0.0451,0.0023,0.0046,2083.3332,7.641724390062335,17.42
56,charter,42.722,0.0058,144.144,144.144,7.722,42.722,0.5333,0.4522,0.0156,0.0058,2916.6666,7.978196667826407,101.422
59,charter,42.722,1.0266,144.144,144.144,7.722,42.722,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,101.422
62,charter,44.522,0.4216,177.74400000000003,177.74400000000003,9.522,44.522,0.5333,0.0069,0.0361,0.4216,3749.9999,8.22951109229779,133.22200000000004
65,charter,39.122,1.0266,76.944,76.944,4.122,39.122,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,37.822
67,charter,44.522,0.3975,177.74400000000003,177.74400000000003,9.522,44.522,0.5333,0.4522,0.1665,0.3975,3749.9999,8.22951109229779,133.22200000000004
71,charter,60.662,0.0209,5.922000000000001,5.922000000000001,25.662,60.662,0.0678,0.0789,0.0102,0.0209,2083.3332,7.641724390062335,54.739999999999995
72,charter,53.522,0.3975,345.744,345.744,18.522,53.522,0.5333,0.4522,0.1665,0.3975,7916.6663,8.976725474478886,292.22200000000004
78,charter,42.722,0.4216,144.144,144.144,7.722,42.722,0.5333,0.0069,0.0361,0.4216,2916.6666,7.978196667826407,101.422
80,charter,39.122,0.0058,76.944,76.944,4.122,39.122,0.5333,0.4522,0.0156,0.0058,1249.9998,7.130898670296334,37.822
84,charter,51.962,0.2773,33.462,33.462,33.462,51.962,0.2537,0.0014,0.0626,0.2773,2916.6666,7.978196667826407,18.5
86,charter,89.714,0.6456,38.134,38.134,54.714,89.714,0.0678,0.0789,0.0559,0.6456,6250.0013,8.740336950730425,51.58
90,charter,59.334,0.0058,161.874,161.874,24.334,59.334,0.5333,0.4522,0.0156,0.0058,3749.9999,8.22951109229779,102.53999999999999
